,dates,long_ma_type,short_ma_type,long_window,long_to_short_ratio,rsi_bounds,z_score_centre,total_return_percent,volatility,max_drawdown,return_per_unit_risk
287,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[40, 60]",0.75,3.0009470259545257,11.290782065297417,-17.85209835074181,0.2657873483518943
288,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[20, 80]",1.0,0.041546903460076834,3.894696797280657,-4.392657864521354,0.010667557867170965
289,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[20, 80]",0.75,0.2537175748217324,3.8797039157086997,-4.3089651226545165,0.06539611793426928
290,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[30, 70]",1.0,-0.10602797877083958,3.864056633548333,-4.562449138650501,-0.027439550924354572
291,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[30, 70]",0.75,0.25779943780148695,3.854046890420526,-4.314249126452256,0.0668905815448856
292,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[40, 60]",1.0,-1.6251886661016623,3.697109087610051,-4.669935214119867,-0.4395836388891205
293,"['2022-07-01', '2022-07-29']",sma,sma,60,2,"[40, 60]",0.75,-0.939925870364855,3.766903157688231,-4.61415667645557,-0.24952217538337051
294,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[20, 80]",1.0,-0.24322683314904614,3.9177475001487765,-4.603257588330383,-0.062083335676893316
295,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[20, 80]",0.75,-0.39167709457236244,3.8886103256626163,-4.690076767835426,-0.10072418210369817
296,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[30, 70]",1.0,-0.6277906527454857,3.8911616886615463,-4.751285024055479,-0.1613375909242745
297,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[30, 70]",0.75,-0.4241332833618827,3.873745621243082,-4.602307453746389,-0.10948919336261907
298,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[40, 60]",1.0,-0.21894847390931949,3.8265016276906345,-4.616973935250936,-0.057218967927490205
299,"['2022-07-01', '2022-07-29']",sma,sma,60,3,"[40, 60]",0.75,0.04210493445115926,3.882449455606644,-4.551564823694565,0.010844940786120355
300,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[20, 80]",1.0,-0.3016535784896024,3.933479716463393,-4.5977760830864325,-0.07668873369984486
301,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[20, 80]",0.75,-0.5804560257454239,3.902278635965876,-4.714732302079164,-0.14874797006948012
302,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[30, 70]",1.0,-0.8132719070133576,3.8778635417960485,-5.062156141911633,-0.20972164137490185
303,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[30, 70]",0.75,-0.6646968382293172,3.871014325795439,-4.9192728206311855,-0.1717112834741916
304,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[40, 60]",1.0,-0.037484840839618894,3.8643288821191204,-4.703066333229739,-0.009700220137335453
305,"['2022-07-01', '2022-07-29']",sma,sma,60,4,"[40, 60]",0.75,0.11519090960476763,3.8599667304927747,-4.271856390313598,0.029842461774291517
306,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[20, 80]",1.0,-0.37711533423393506,3.963552120991567,-4.321618392454448,-0.0951457992028604
307,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[20, 80]",0.75,-0.044055263424913615,3.983152105220738,-4.676989238395529,-0.011060401978415575
308,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[30, 70]",1.0,-0.5363410193915619,3.9564737645480887,-4.532771837018804,-0.1355603629164525
309,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[30, 70]",0.75,-0.11347865054706086,3.972757285432342,-4.817758249079458,-0.028564204252591624
310,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[40, 60]",1.0,-1.5408355589615508,3.9749066073498875,-5.099961066393436,-0.3876406947807114
311,"['2022-07-01', '2022-07-29']",sma,sma,72,2,"[40, 60]",0.75,-1.1291318214231572,4.048042033108185,-5.613135319069458,-0.2789328302888649
